Altitude Temperature "Sunshine hours"
92 9.3 1446.3
26 8.4 1714
22 9 1355.7
161 8.6 1448.2
5 8.1 1619.2
17 8.6 1610.6
444 7.9 1497.1
58 9.4 1426.4
11 8.9 1495.6
76 8.7 1608.5
419 7.8 1473
96 10.2 1673.2
186 8.9 1422.6
547 6.8 1466.3
450 6.9 1487.7
77 8 1529.4
313 7.7 1555.2
621 7.5 1530.7
42 8.4 1482.9
405 8 1639.7
273 9.7 1563.9
63 8.3 1636.7
515 8.1 1707.1
528 7.8 1709.1
515 9.1 1681.2
62 9.2 1528.2
81 7.9 1647.9
111 9.8 1370
500 7.2 1323
26 8.4 1492.1
38 8.5 1583.3
125 10.1 1639.2
64 8 1669.6
26 9 1384
425 8 1336.4
11 9 1628
627 6.7 1540.9
314 8.8 1697.8
280 8.8 1459.9
490 7.7 1493.8
806 6.1 1596.2
276 9.1 1701.6
110 10.3 1634
150 8.6 1612.4
95 9.1 1433.4
409 8 1682.5
435 7.6 1365.3
246 9.1 1689.4
386 7.5 1424.4
24 8.4 1571.1
81 8.7 1692.2
40 7.9 1715.3
123 8.8 1432.3
1640 3.4 1673
109 9.6 1459.4
366 8.2 1646
470 8 1489.5
690 6.2 1720.9
131 9.7 1536.2
287 10 1716
116 9.8 1568.7
444 8.3 1588.8
4 8.4 1686.5
87 9 1462.1
747 6.8 1549.5
588 7.3 1682
692 6 1158.7
320 8.9 1660.8
193 10.4 1393.8
333 7.2 1449
135 9.2 1450.9
795 6.2 1524
5 8.5 1485.6
155 9.2 1592.3
155 8.6 1323.7
609 5.3 1377.2
43 8 1598.3
170 9.2 1493.3
993 5.6 1724.8
937 4.4 1351.5
635 7.4 1492.4
616 7.2 1375
265 8.2 1313.4
504 6.2 1485.4
365 8.6 1645.6
444 7.7 1432.8
792 6.8 1600.9
59 8.4 1595.6
21 8.5 1529.6
186 8.5 1312
611 6.2 1354
360 8 1575
77 8.4 1524.6
365 7.4 1382.3
147 8.8 1306
87 8.9 1578.9
734 6.8 1765.6
350 8.3 1621.2
286 10.1 1691.7
311 9.5 1692.2
401 8.7 1684.7
837 7.4 1493.6
46 8.1 1607.2
61 8.8 1515
396 8.4 1626.6
870 5.7 1656.6
846 5.6 1435.2
781 6.2 1420
640 7.2 1693.3
80 8.7 1639.4
9 8.6 1619.7
700 7.1 1303
144 9.9 1264.5
265 9.1 1572.6
490 8.7 1697.1
50 8.5 1486.6
571 7.9 1698.9
471 8 1611.5
291 8.2 1561.2
240 8.2 1600.8
51 8.8 1373
223 10.1 1739.3
176 8.4 1262
380 8.1 1512.6
940 5.6 1508.9
70 8.1 1607.9
921 4.8 1552.2
438 7.4 1574.4
470 7.5 1679.5
146 9.6 1379
553 7.8 1602.8
440 8.7 1666
219 9.6 1638.7
422 8.1 1679.5
1832 2.1 1675.6
140 9.1 1463.1
3 8.3 1740.7
142 9.8 1485.5
740 7.2 1701.8
580 6.4 1365.8
681 5.9 1341.3
105 8.7 1630.3
133 8.7 1422.1
464 7.5 1611.5
291 9.4 1422
1 8.4 1596.2
268 9.1 1565.4
877 4.3 1411.4
2960 -4.8 1846.3
615 6.2 1623.4
